t,Antenna ID,Event Code,Device ID,x,y, Tile ID
12,72,2,299,599864.364593,649505.165203,271
12,201,0,292,600520.218761,650877.714860,629
12,194,2,289,600384.426337,650135.919067,439
12,99,2,270,600228.593521,649307.067319,221
13,23,2,246,599987.832676,651933.067514,921
13,71,2,280,600255.040228,649027.918590,140
13,194,2,289,600384.426337,650135.919067,439
13,201,1,291,600557.309976,651059.333424,683
13,110,2,273,600195.744990,649919.004013,383
13,161,0,283,600219.121091,651714.177197,869
13,137,2,296,600361.369070,653379.649436,1302
13,23,2,259,600078.941324,651854.245087,895
13,158,1,242,601485.167003,649617.923509,315
13,99,2,270,600228.593521,649307.067319,221
13,72,2,299,599913.414920,649359.668437,218
13,179,1,257,600542.786626,652124.587933,980
13,104,0,292,600557.309976,651059.333424,683
13,176,0,257,600542.786626,652124.587933,980
13,131,2,234,601514.911596,650068.348954,423
13,161,0,284,600219.121091,651714.177197,869
13,23,2,245,599987.832676,651933.067514,921
13,9,2,276,600905.984259,650013.616277,417
13,79,1,284,600219.121091,651714.177197,869
13,137,2,297,600361.369070,653379.649436,1302
13,79,1,283,600219.121091,651714.177197,869
13,202,0,253,599954.787610,649919.609747,380
13,110,1,253,599954.787610,649919.609747,380
13,118,0,242,601485.167003,649617.923509,315
13,201,2,268,600410.273702,650778.988449,601
13,201,1,292,600557.309976,651059.333424,683
13,118,0,241,601485.167003,649617.923509,315
13,148,2,230,600284.643085,653002.162496,1221
13,158,1,241,601485.167003,649617.923509,315
13,104,0,291,600557.309976,651059.333424,683
14,161,1,284,600063.012987,651855.490516,894
14,148,2,230,600284.643085,653002.162496,1221
14,131,2,234,601514.911596,650068.348954,423
14,118,2,242,601485.167003,649617.923509,315
14,23,2,245,599987.832676,651933.067514,921
14,137,2,297,600361.369070,653379.649436,1302
14,115,0,292,600624.821241,650886.697130,630
14,23,0,284,600063.012987,651855.490516,894
14,161,1,283,600063.012987,651855.490516,894
14,115,0,291,600624.821241,650886.697130,630
14,104,1,291,600624.821241,650886.697130,630
14,194,2,289,600384.426337,650135.919067,439
14,213,0,253,599821.045903,650050.220257,406
14,176,1,257,600685.346454,652009.457805,955
14,104,1,292,600624.821241,650886.697130,630
14,26,0,257,600685.346454,652009.457805,955
14,201,2,268,600410.273702,650778.988449,601
14,202,1,253,599821.045903,650050.220257,406
14,72,2,299,599905.328867,649512.997688,272
14,98,0,276,600773.502104,650132.389794,442
14,110,2,273,600195.744990,649919.004013,383
14,23,0,283,600063.012987,651855.490516,894
14,23,2,259,600078.941324,651854.245087,895
14,99,2,270,600228.593521,649307.067319,221
14,71,2,280,600255.040228,649027.918590,140
14,9,1,276,600773.502104,650132.389794,442
14,23,2,246,599987.832676,651933.067514,921
14,137,2,296,600361.369070,653379.649436,1302
14,118,2,241,601485.167003,649617.923509,315
15,118,1,242,600690.866696,650267.436447,469
15,110,1,273,600098.606720,649132.313536,166
15,129,0,242,600690.866696,650267.436447,469
15,207,0,270,600939.502686,648631.315721,39
15,131,2,234,601514.911596,650068.348954,423
15,194,2,289,600384.426337,650135.919067,439
15,118,1,241,600690.866696,650267.436447,469
15,26,1,257,600817.693220,651882.719553,902
15,115,2,292,600630.247813,650701.409210,576
15,148,2,230,600284.643085,653002.162496,1221
15,115,2,291,600630.247813,650701.409210,576
15,137,2,296,600361.369070,653379.649436,1302
15,23,2,284,600063.012987,651855.490516,894
15,71,2,280,600255.040228,649027.918590,140
15,201,2,268,600410.273702,650778.988449,601
15,213,2,253,599821.045903,650050.220257,406
15,23,2,246,599987.832676,651933.067514,921
15,129,0,241,600690.866696,650267.436447,469
15,23,2,245,599987.832676,651933.067514,921
15,137,2,297,600361.369070,653379.649436,1302
15,129,0,276,600645.326577,650255.798481,468
15,99,1,270,600939.502686,648631.315721,39
15,98,1,276,600645.326577,650255.798481,468
15,72,2,299,599892.720361,649359.973935,218
15,23,2,283,600063.012987,651855.490516,894
15,45,0,273,600098.606720,649132.313536,166
15,23,2,259,600078.941324,651854.245087,895
15,89,0,257,600817.693220,651882.719553,902
16,115,1,292,600815.016906,650686.528241,578
16,23,2,245,599987.832676,651933.067514,921
16,129,1,241,599963.649069,650991.269685,650
16,72,1,299,599957.709426,649220.863673,191
16,207,2,270,600939.502686,648631.315721,39
16,129,1,242,599963.649069,650991.269685,650
16,123,0,242,599963.649069,650991.269685,650
16,148,2,230,600284.643085,653002.162496,1221
16,23,2,259,600078.941324,651854.245087,895
16,23,1,283,600030.652318,651647.423264,840
16,194,2,289,600384.426337,650135.919067,439
16,180,0,257,600787.689685,651701.948873,848
16,131,2,234,601514.911596,650068.348954,423
16,23,2,246,599987.832676,651933.067514,921
16,137,2,296,600361.369070,653379.649436,1302
16,37,0,291,600815.016906,650686.528241,578
16,199,0,284,600030.652318,651647.423264,840
16,45,2,273,600098.606720,649132.313536,166
16,37,0,292,600815.016906,650686.528241,578
16,213,2,253,599821.045903,650050.220257,406
