Antenna_Id,x,y,geometry
135,601728.8613689999,651210.763921,POINT (601728.8613689999 651210.7639209999)
109,600108.646526,650062.579224,POINT (600108.646526 650062.579224)
7,600108.646526,650062.579224,POINT (600108.646526 650062.579224)
31,600670.262893,652848.002645,POINT (600670.262893 652848.002645)
226,600167.568406,650188.904467,POINT (600167.568406 650188.904467)
142,600670.262893,652848.002645,POINT (600670.262893 652848.002645)
79,600623.036406,651471.463429,POINT (600623.036406 651471.463429)
175,601102.607284,651096.277115,POINT (601102.607284 651096.2771149999)
214,600167.568406,650188.904467,POINT (600167.568406 650188.904467)
125,601102.607284,651096.277115,POINT (601102.607284 651096.2771149999)
162,601816.577262,651049.878332,POINT (601816.5772619999 651049.878332)
135,601816.577262,651049.878332,POINT (601816.5772619999 651049.878332)
77,600623.036406,651471.463429,POINT (600623.036406 651471.463429)
31,600840.337933,652887.313852,POINT (600840.3379329999 652887.3138520001)
109,601087.7023069999,650369.54797,POINT (601087.7023069999 650369.54797)
154,601406.887453,652061.047688,POINT (601406.8874529999 652061.047688)
175,601292.4101890001,651187.458536,POINT (601292.4101890001 651187.458536)
158,601087.7023069999,650369.54797,POINT (601087.7023069999 650369.54797)
162,601639.25541,651003.669978,POINT (601639.25541 651003.669978)
79,601406.887453,652061.047688,POINT (601406.8874529999 652061.047688)
59,601292.4101890001,651187.458536,POINT (601292.4101890001 651187.458536)
48,601639.25541,651003.669978,POINT (601639.25541 651003.669978)
31,601014.081847,652904.1644369999,POINT (601014.0818470001 652904.1644369999)
18,601240.010347,651391.4032609999,POINT (601240.010347 651391.4032609999)
70,602094.429551,650171.355414,POINT (602094.429551 650171.355414)
65,600734.365886,649605.735158,POINT (600734.365886 649605.735158)
227,601014.081847,652904.1644369999,POINT (601014.0818470001 652904.1644369999)
158,602094.429551,650171.355414,POINT (602094.429551 650171.355414)
59,601240.010347,651391.4032609999,POINT (601240.010347 651391.4032609999)
48,601800.152556,651091.364672,POINT (601800.152556 651091.3646720001)
135,601800.152556,651091.364672,POINT (601800.152556 651091.3646720001)
45,600734.365886,649605.735158,POINT (600734.365886 649605.735158)
65,601519.075036,649717.758813,POINT (601519.075036 649717.7588130001)
181,601444.1821689999,651442.91114,POINT (601444.1821689999 651442.91114)
18,601444.1821689999,651442.91114,POINT (601444.1821689999 651442.91114)
154,600691.24879,651390.30678,POINT (600691.24879 651390.30678)
118,601519.075036,649717.758813,POINT (601519.075036 649717.7588130001)
197,600691.24879,651390.30678,POINT (600691.24879 651390.30678)
70,601344.727141,649470.8367989999,POINT (601344.727141 649470.8367989999)
118,601857.565471,650434.516774,POINT (601857.565471 650434.516774)
31,600894.517836,652776.982138,POINT (600894.517836 652776.982138)
227,600894.517836,652776.982138,POINT (600894.517836 652776.982138)
77,599961.574576,650734.8621960001,POINT (599961.574576 650734.8621960001)
135,601665.7913439999,650966.764049,POINT (601665.7913439999 650966.764049)
197,599961.574576,650734.8621960001,POINT (599961.574576 650734.8621960001)
81,601344.727141,649470.8367989999,POINT (601344.727141 649470.8367989999)
48,601665.7913439999,650966.764049,POINT (601665.7913439999 650966.764049)
122,601857.565471,650434.516774,POINT (601857.565471 650434.516774)
48,601566.323935,650812.8664020001,POINT (601566.323935 650812.8664020001)
33,600555.000255,648815.770787,POINT (600555.000255 648815.770787)
166,601566.323935,650812.8664020001,POINT (601566.323935 650812.8664020001)
81,600555.000255,648815.770787,POINT (600555.000255 648815.770787)
31,600780.361166,652644.924784,POINT (600780.361166 652644.924784)
31,600687.8053819999,652496.923714,POINT (600687.8053819999 652496.923714)
122,601251.129995,649924.072102,POINT (601251.129995 649924.072102)
198,601251.129995,649924.072102,POINT (601251.129995 649924.072102)
166,601428.150315,650692.507349,POINT (601428.150315 650692.507349)
216,600687.8053819999,652496.923714,POINT (600687.8053819999 652496.923714)
198,600672.480634,649382.331698,POINT (600672.480634 649382.331698)
131,601724.508933,649940.63528,POINT (601724.508933 649940.63528)
209,601559.302871,649025.904768,POINT (601559.302871 649025.904768)
33,601559.302871,649025.904768,POINT (601559.302871 649025.904768)
216,600558.143826,652380.052969,POINT (600558.143826 652380.052969)
188,600672.480634,649382.331698,POINT (600672.480634 649382.331698)
170,601724.508933,649940.63528,POINT (601724.508933 649940.63528)
179,600415.729038,652279.112797,POINT (600415.729038 652279.112797)
193,600936.4258229999,650626.7090319999,POINT (600936.4258229999 650626.7090319999)
71,600107.323939,648826.52988,POINT (600107.323939 648826.52988)
216,600415.729038,652279.112797,POINT (600415.729038 652279.112797)
47,601630.189365,650100.212471,POINT (601630.189365 650100.212471)
77,600936.4258229999,650626.7090319999,POINT (600936.4258229999 650626.7090319999)
170,601630.189365,650100.212471,POINT (601630.189365 650100.212471)
188,600107.323939,648826.52988,POINT (600107.323939 648826.52988)
25,600304.9615869999,652144.200003,POINT (600304.9615869999 652144.200003)
226,599985.686732,650232.090184,POINT (599985.686732 650232.090184)
47,601815.435938,650093.521566,POINT (601815.435938 650093.521566)
179,600304.9615869999,652144.200003,POINT (600304.9615869999 652144.200003)
66,600231.532922,648808.331132,POINT (600231.532922 648808.331132)
71,600231.532922,648808.331132,POINT (600231.532922 648808.331132)
2,601815.435938,650093.521566,POINT (601815.435938 650093.521566)
225,599985.686732,650232.090184,POINT (599985.686732 650232.090184)
80,600182.323101,651253.894129,POINT (600182.323101 651253.894129)
193,600182.323101,651253.894129,POINT (600182.323101 651253.894129)
170,601671.593975,650045.79238,POINT (601671.593975 650045.79238)
209,601671.593975,650045.79238,POINT (601671.593975 650045.79238)
95,601425.552067,651021.580236,POINT (601425.552067 651021.580236)
188,600832.621147,649339.892629,POINT (600832.621147 649339.892629)
201,601425.552067,651021.580236,POINT (601425.552067 651021.580236)
71,599940.0104520001,649601.335628,POINT (599940.0104520001 649601.335628)
65,600832.621147,649339.892629,POINT (600832.621147 649339.892629)
2,601976.9827520001,650184.426394,POINT (601976.9827520001 650184.426394)
66,600253.635821,648960.274231,POINT (600253.635821 648960.274231)
25,600169.945876,652033.558024,POINT (600169.945876 652033.558024)
225,600171.327708,650254.076033,POINT (600171.327708 650254.076033)
143,600169.945876,652033.558024,POINT (600169.945876 652033.558024)
69,601976.9827520001,650184.426394,POINT (601976.9827520001 650184.426394)
87,599940.0104520001,649601.335628,POINT (599940.0104520001 649601.335628)
187,600171.327708,650254.076033,POINT (600171.327708 650254.076033)
187,600334.105244,650345.996778,POINT (600334.105244 650345.996778)
23,600030.651665,651928.3534,POINT (600030.651665 651928.3534)
65,600722.831242,649476.799049,POINT (600722.831242 649476.799049)
143,600030.651665,651928.3534,POINT (600030.651665 651928.3534)
87,600722.831242,649476.799049,POINT (600722.831242 649476.799049)
65,601027.1240899999,649330.715251,POINT (601027.1240899999 649330.715251)
71,600236.8767060001,649112.8991810001,POINT (600236.8767060001 649112.8991810001)
66,600236.8767060001,649112.8991810001,POINT (600236.8767060001 649112.8991810001)
97,600334.105244,650345.996778,POINT (600334.105244 650345.996778)
80,600748.977566,652054.478153,POINT (600748.977566 652054.478153)
99,600237.437566,649266.440475,POINT (600237.437566 649266.440475)
26,600748.977566,652054.478153,POINT (600748.977566 652054.478153)
65,600901.184356,649368.113214,POINT (600901.184356 649368.113214)
170,600901.184356,649368.113214,POINT (600901.184356 649368.113214)
71,600237.437566,649266.440475,POINT (600237.437566 649266.440475)
97,600518.996612,650373.585383,POINT (600518.996612 650373.585383)
