t;Person ID;x;y
7;243;600896.283704;652551.310090
7;240;600408.470275;652231.456416
7;239;600330.141181;650474.633084
7;238;600283.514429;648629.371179
7;237;600447.223996;651149.277552
7;236;600220.450113;649887.750663
7;235;599768.302125;650061.935463
7;233;601514.911596;650068.348954
7;232;600028.886450;648578.742008
7;231;601607.333938;650103.890750
7;229;600971.571311;652281.334357
8;300;601594.306428;650510.663608
8;298;599830.792487;649473.402050
8;295;600361.369070;653379.649436
8;294;601334.504409;650275.520800
8;293;600381.495263;650354.538096
8;290;600135.900138;651388.912008
8;288;600384.426337;650135.919067
8;287;600485.134522;653029.287901
8;286;600327.570772;649542.521567
8;285;600228.456374;649622.079859
8;282;600929.818494;650939.285706
8;281;601772.365239;649602.391517
8;279;600255.040228;649027.918590
8;278;601392.099712;650140.098977
8;277;600515.661023;649631.859296
8;275;601026.924381;649883.108971
8;274;600211.870081;649305.394679
8;272;600195.744990;649919.004013
8;271;600913.543152;653021.267577
8;269;600129.089020;651257.239740
8;267;600410.273702;650778.988449
8;266;601427.567027;650073.855850
8;265;600261.620582;653484.916814
8;264;600373.175626;652364.819773
8;263;600190.108587;648723.725952
8;262;600313.959433;650963.879240
8;261;602073.250675;650522.928952
8;260;599810.112981;650318.786193
8;258;600078.941324;651854.245087
8;256;600102.536634;652381.632529
8;255;601027.839567;652554.729750
8;254;599948.154461;650016.759866
8;252;600091.015093;649791.594036
8;251;600030.448065;649767.152818
8;250;600739.238871;649376.471531
8;249;600681.978047;651827.937916
8;248;600851.486662;650890.515345
8;247;600310.147071;650525.109250
8;244;599987.832676;651933.067514
8;243;601024.617527;652390.157497
8;240;600408.470275;652231.456416
8;239;600330.141181;650474.633084
8;238;600283.514429;648629.371179
8;237;600447.223996;651149.277552
8;236;600742.570527;649156.024670
8;235;599768.302125;650061.935463
8;233;601514.911596;650068.348954
8;232;600028.886450;648578.742008
8;231;601607.333938;650103.890750
8;229;600273.755739;652995.737070
9;300;600851.677202;651052.416312
9;298;599743.256137;649599.547327
9;295;600361.369070;653379.649436
9;294;601334.504409;650275.520800
9;293;600381.495263;650354.538096
9;290;600315.863493;651344.479457
9;288;600384.426337;650135.919067
9;287;600485.134522;653029.287901
9;286;600304.254065;649380.644582
9;285;600375.068398;649455.293911
9;282;600785.223056;651092.358740
9;281;601772.365239;649602.391517
9;279;600255.040228;649027.918590
9;278;602085.595146;649218.527498
9;277;601560.046174;649277.790876
9;275;601026.924381;649883.108971
9;274;600211.870081;649305.394679
9;272;600195.744990;649919.004013
9;271;600875.907209;652834.142717
9;269;600272.334061;650286.923853
9;267;600410.273702;650778.988449
9;266;601427.567027;650073.855850
9;265;600454.812896;653383.494241
9;264;601006.828169;651516.283053
9;263;600190.108587;648723.725952
9;262;600481.434800;650850.807746
9;261;601340.308485;651302.687242
9;260;599778.170069;650148.694879
9;258;600078.941324;651854.245087
9;256;600146.523181;652559.518545
9;255;601027.839567;652554.729750
9;254;599806.025721;650143.077545
9;252;600091.015093;649791.594036
9;251;600081.043941;649602.560040
9;250;600739.238871;649376.471531
9;249;600681.978047;651827.937916
9;248;600989.514638;651038.457925
9;247;600596.924528;651602.423104
9;244;599987.832676;651933.067514
9;243;601159.141201;652234.134713
9;240;600408.470275;652231.456416
9;239;600330.141181;650474.633084
9;238;600283.514429;648629.371179
9;237;600447.223996;651149.277552
9;236;600335.496098;649957.475270
9;235;600590.689603;650130.739241
9;233;601514.911596;650068.348954
9;232;600028.886450;648578.742008
9;231;601607.333938;650103.890750
9;229;600273.755739;652995.737070
10;300;600280.088259;651772.333140
10;298;599743.256137;649599.547327
10;295;600361.369070;653379.649436
10;294;601334.504409;650275.520800
10;293;600381.495263;650354.538096
10;290;600328.443771;651159.539474
10;288;600384.426337;650135.919067
10;287;600485.134522;653029.287901
10;286;600396.009212;649245.260610
10;285;600555.863308;649326.352689
10;282;600639.327129;651244.192770
10;281;601772.365239;649602.391517
10;279;600255.040228;649027.918590
10;278;602085.595146;649218.527498
10;277;601560.046174;649277.790876
10;275;601026.924381;649883.108971
10;274;600979.530991;649781.326531
10;272;600195.744990;649919.004013
10;271;601005.849066;652694.331088
10;269;600228.593521;649307.067319
10;267;600410.273702;650778.988449
10;266;601427.567027;650073.855850
10;265;600484.033964;653167.263027
10;264;601656.065295;650679.610318
10;263;600190.108587;648723.725952
10;262;600523.334226;650653.127198
10;261;600670.142316;652137.016046
10;260;599778.170069;650148.694879
10;258;600078.941324;651854.245087
10;256;600281.161412;652435.217307
10;255;601027.839567;652554.729750
10;254;599806.025721;650143.077545
10;252;600091.015093;649791.594036
10;251;600251.598148;649626.266322
10;250;600739.238871;649376.471531
10;249;600481.915745;650799.660494
10;248;601188.436321;651075.456480
10;247;600390.354801;650506.897934
10;244;599987.832676;651933.067514
10;243;601351.410300;652160.159569
10;240;600408.470275;652231.456416
10;239;600330.141181;650474.633084
10;238;600283.514429;648629.371179
10;237;600447.223996;651149.277552
10;236;600636.894052;649110.603421
10;235;600741.830350;649319.436832
10;233;601514.911596;650068.348954
